iter	Passed	Remaining
0	146	146167
1	147	73586
2	148	49371
3	149	37242
4	150	29947
5	151	25076
6	152	21663
7	153	19055
8	154	17019
9	155	15393
10	156	14071
11	157	12962
12	158	12031
13	159	11230
14	160	10543
15	161	9933
16	162	9394
17	163	8910
18	164	8483
19	165	8094
20	166	7750
21	167	7430
22	168	7138
23	168	6869
24	169	6625
25	170	6395
26	171	6185
27	172	5990
28	173	5812
29	174	5643
30	175	5483
31	176	5333
32	177	5192
33	178	5061
34	179	4935
35	179	4818
36	180	4706
37	181	4601
38	182	4501
39	183	4406
40	184	4315
41	185	4229
42	186	4146
43	187	4067
44	188	3993
45	189	3922
46	190	3853
47	190	3787
48	191	3724
49	192	3664
50	193	3606
51	194	3550
52	195	3495
53	196	3443
54	197	3393
55	198	3345
56	199	3300
57	200	3254
58	201	3209
59	202	3165
60	203	3125
61	203	3086
62	204	3048
63	205	3011
64	206	2976
65	207	2942
66	208	2907
67	209	2868
68	210	2836
69	211	2805
70	212	2775
71	213	2746
72	213	2716
73	214	2688
74	215	2659
75	216	2633
76	217	2606
77	218	2580
78	219	2555
79	220	2532
80	221	2509
81	222	2486
82	222	2463
83	223	2440
84	224	2416
85	225	2395
86	226	2372
87	226	2352
88	227	2332
89	228	2314
90	229	2295
91	230	2276
92	231	2258
93	232	2241
94	233	2224
95	234	2208
96	235	2191
97	236	2175
98	237	2161
99	238	2145
100	239	2130
101	239	2111
102	240	2096
103	241	2081
104	242	2067
105	243	2053
106	244	2039
107	245	2025
108	246	2012
109	247	1999
110	248	1986
111	248	1973
112	249	1961
113	250	1948
114	251	1935
115	252	1922
116	253	1911
117	254	1899
118	254	1886
119	255	1875
120	256	1863
121	257	1852
122	257	1839
123	258	1828
124	259	1817
125	260	1807
126	261	1799
127	262	1787
128	263	1777
129	264	1767
130	265	1758
131	265	1748
132	266	1739
133	267	1730
134	268	1720
135	269	1711
136	270	1702
137	270	1692
138	271	1684
139	272	1676
140	273	1667
141	274	1659
142	275	1652
143	276	1644
144	277	1636
145	278	1627
146	279	1620
147	280	1613
148	281	1606
149	282	1598
150	282	1590
151	283	1583
152	284	1575
153	285	1568
154	286	1561
155	287	1553
156	288	1546
157	289	1540
158	289	1533
159	290	1526
160	291	1520
161	292	1513
162	293	1506
163	294	1500
164	295	1494
165	296	1488
166	297	1483
167	298	1477
168	299	1471
169	300	1465
170	301	1459
171	301	1453
172	302	1447
173	303	1441
174	304	1436
175	305	1430
176	306	1425
177	307	1419
178	308	1414
179	309	1408
180	309	1401
181	310	1395
182	311	1390
183	312	1385
184	313	1380
185	314	1375
186	315	1369
187	315	1364
188	316	1359
189	317	1354
190	318	1349
191	319	1343
192	320	1339
193	321	1334
194	321	1329
195	323	1324
196	323	1320
197	324	1315
198	325	1310
199	326	1305
200	327	1300
201	328	1295
202	328	1291
203	329	1286
204	330	1282
205	331	1277
206	332	1273
207	333	1268
208	333	1264
209	334	1259
210	335	1255
211	336	1251
212	337	1246
213	338	1242
214	339	1238
215	340	1234
216	340	1229
217	341	1225
218	342	1221
219	343	1217
220	344	1213
221	345	1209
222	345	1205
223	346	1201
224	347	1197
225	348	1193
226	349	1189
227	350	1185
228	350	1181
229	351	1177
230	352	1174
231	353	1170
232	354	1166
233	355	1162
234	356	1159
235	356	1155
236	357	1152
237	358	1148
238	359	1145
239	360	1141
240	361	1137
241	362	1134
242	362	1130
243	363	1126
244	364	1123
245	365	1119
246	366	1117
247	367	1113
248	368	1110
249	368	1106
250	369	1103
251	370	1100
252	371	1096
253	372	1093
254	373	1090
255	374	1087
256	375	1084
257	375	1080
258	376	1077
259	377	1074
260	378	1071
261	379	1068
262	380	1065
263	381	1062
264	381	1059
265	382	1056
266	383	1053
267	384	1050
268	385	1046
269	386	1043
270	387	1041
271	388	1038
272	389	1036
273	390	1033
274	391	1030
275	391	1028
276	392	1025
277	393	1022
278	394	1019
279	395	1017
280	396	1014
281	397	1011
282	398	1008
283	399	1006
284	400	1003
285	400	1000
286	401	997
287	402	995
288	403	992
289	404	990
290	405	988
291	406	986
292	407	983
293	408	980
294	409	978
295	410	975
296	411	973
297	412	971
298	413	968
299	414	966
300	415	964
301	416	961
302	417	959
303	417	956
304	418	954
305	419	951
306	420	949
307	421	947
308	422	944
309	423	942
310	424	939
311	425	937
312	425	934
313	426	932
314	427	929
315	428	927
316	429	925
317	430	923
318	431	921
319	432	918
320	433	916
321	434	914
322	435	912
323	436	909
324	437	907
325	437	905
326	438	903
327	439	900
328	440	898
329	441	896
330	442	894
331	443	891
332	444	889
333	445	887
334	446	885
335	447	883
336	448	881
337	449	879
338	450	877
339	450	875
340	451	873
341	452	870
342	453	869
343	454	867
344	455	864
345	456	862
346	457	860
347	458	858
348	459	856
349	460	854
350	460	852
351	461	850
352	462	848
353	463	846
354	464	844
355	465	842
356	466	840
357	467	837
358	468	835
359	468	833
360	469	831
361	470	829
362	471	827
363	472	825
364	473	822
365	473	820
366	475	819
367	475	817
368	476	815
369	477	813
370	478	811
371	479	809
372	480	807
373	481	805
374	481	803
375	482	801
376	483	799
377	484	797
378	485	795
379	486	793
380	487	791
381	487	789
382	488	787
383	489	785
384	490	783
385	491	781
386	492	779
387	493	778
388	494	776
389	495	774
390	496	772
391	497	771
392	498	769
393	499	767
394	500	766
395	501	764
396	502	762
397	503	761
398	504	759
399	505	757
400	506	755
401	506	754
402	507	752
403	508	750
404	509	748
405	510	747
406	511	745
407	512	743
408	513	742
409	514	740
410	515	738
411	516	737
412	517	735
413	518	733
414	519	732
415	520	730
416	521	728
417	522	726
418	523	725
419	523	723
420	525	722
421	526	720
422	527	718
423	527	717
424	528	715
425	529	713
426	530	712
427	531	710
428	532	708
429	533	706
430	534	705
431	535	703
432	536	702
433	537	700
434	538	698
435	539	697
436	540	695
437	541	694
438	542	693
439	543	691
440	544	690
441	545	688
442	546	687
443	547	685
444	548	684
445	549	682
446	551	681
447	552	680
448	553	679
449	554	677
450	555	676
451	556	674
452	557	672
453	558	671
454	559	669
455	560	668
456	561	666
457	561	665
458	562	663
459	563	661
460	564	660
461	565	658
462	566	657
463	567	655
464	568	654
465	569	652
466	570	651
467	571	649
468	572	648
469	573	646
470	574	644
471	575	643
472	576	641
473	577	640
474	578	639
475	579	637
476	580	635
477	581	634
478	581	632
479	582	631
480	583	629
481	584	628
482	585	626
483	586	625
484	587	623
485	588	622
486	589	621
487	590	619
488	591	618
489	592	616
490	593	615
491	594	613
492	595	612
493	596	610
494	597	609
495	598	608
496	599	607
497	600	605
498	601	604
499	602	602
500	603	601
501	604	599
502	605	598
503	606	596
504	607	595
505	608	593
506	609	592
507	609	590
508	610	589
509	611	587
510	612	586
511	613	584
512	614	583
513	615	582
514	616	580
515	617	579
516	618	578
517	619	576
518	620	575
519	621	573
520	622	572
521	623	570
522	624	569
523	625	567
524	626	566
525	627	565
526	627	563
527	628	562
528	629	560
529	630	559
530	631	557
531	632	556
532	633	555
533	634	553
534	635	552
535	636	550
536	637	549
537	638	547
538	639	546
539	639	545
540	640	543
541	641	542
542	642	541
543	643	539
544	644	538
545	645	536
546	646	535
547	647	533
548	648	532
549	649	531
550	650	529
551	650	528
552	651	526
553	652	525
554	653	523
555	654	522
556	655	521
557	656	519
558	657	518
559	658	517
560	659	515
561	660	514
562	661	513
563	662	511
564	662	510
565	663	509
566	664	507
567	665	506
568	667	505
569	667	503
570	668	502
571	669	501
572	670	499
573	671	498
574	672	497
575	673	496
576	674	494
577	675	493
578	676	492
579	677	490
580	678	489
581	679	487
582	680	486
583	681	485
584	682	483
585	683	482
586	684	481
587	685	480
588	686	478
589	687	477
590	688	476
591	689	475
592	690	473
593	691	472
594	692	471
595	693	469
596	694	468
597	695	467
598	696	466
599	697	464
600	698	463
601	699	462
602	700	460
603	700	459
604	701	458
605	702	457
606	703	455
607	704	454
608	705	452
609	706	451
610	707	450
611	708	448
612	708	447
613	709	446
614	710	444
615	711	443
616	712	442
617	713	441
618	714	439
619	715	438
620	715	436
621	716	435
622	717	434
623	718	433
624	719	431
625	720	430
626	720	428
627	721	427
628	722	426
629	723	425
630	724	423
631	725	422
632	726	421
633	727	419
634	728	418
635	729	417
636	730	416
637	730	414
638	731	413
639	732	412
640	733	410
641	734	409
642	735	408
643	736	407
644	737	405
645	738	404
646	739	403
647	740	402
648	741	400
649	742	399
650	743	398
651	744	397
652	745	396
653	746	394
654	747	393
655	748	392
656	749	391
657	750	389
658	750	388
659	751	387
660	752	386
661	753	384
662	754	383
663	755	382
664	756	381
665	757	379
666	758	378
667	759	377
668	759	376
669	760	374
670	761	373
671	762	372
672	763	371
673	764	369
674	765	368
675	766	367
676	767	366
677	768	364
678	769	363
679	769	362
680	770	361
681	771	359
682	772	358
683	773	357
684	774	355
685	775	354
686	775	353
687	776	352
688	777	350
689	778	349
690	779	348
691	780	347
692	780	345
693	781	344
694	782	343
695	783	342
696	784	341
697	785	339
698	786	338
699	787	337
700	788	336
701	789	335
702	790	333
703	791	332
704	792	331
705	792	330
706	793	328
707	794	327
708	795	326
709	796	325
710	797	324
711	798	322
712	799	321
713	800	320
714	801	319
715	801	318
716	802	316
717	803	315
718	804	314
719	805	313
720	806	312
721	807	310
722	808	309
723	809	308
724	810	307
725	811	306
726	811	304
727	812	303
728	813	302
729	814	301
730	815	300
731	816	299
732	817	297
733	818	296
734	819	295
735	820	294
736	821	293
737	822	291
738	823	290
739	824	289
740	825	288
741	826	287
742	826	286
743	828	284
744	829	283
745	829	282
746	830	281
747	831	280
748	832	279
749	833	277
750	834	276
751	835	275
752	836	274
753	837	273
754	837	271
755	838	270
756	839	269
757	840	268
758	841	267
759	842	266
760	843	264
761	844	263
762	845	262
763	846	261
764	847	260
765	848	259
766	849	257
767	850	256
768	850	255
769	851	254
770	852	253
771	853	252
772	854	250
773	855	249
774	856	248
775	856	247
776	858	246
777	859	245
778	860	244
779	861	242
780	861	241
781	862	240
782	863	239
783	864	238
784	865	237
785	866	235
786	867	234
787	868	233
788	869	232
789	870	231
790	871	230
791	872	229
792	873	227
793	874	226
794	875	225
795	876	224
796	876	223
797	877	222
798	878	221
799	879	219
800	880	218
801	881	217
802	882	216
803	883	215
804	884	214
805	885	213
806	886	211
807	887	210
808	888	209
809	889	208
810	890	207
811	890	206
812	891	205
813	892	203
814	893	202
815	894	201
816	895	200
817	896	199
818	897	198
819	897	197
820	898	195
821	899	194
822	900	193
823	901	192
824	902	191
825	903	190
826	904	189
827	905	188
828	906	186
829	907	185
830	908	184
831	909	183
832	909	182
833	910	181
834	911	180
835	912	179
836	913	177
837	914	176
838	915	175
839	916	174
840	917	173
841	918	172
842	919	171
843	920	170
844	921	168
845	922	167
846	923	166
847	924	165
848	925	164
849	925	163
850	926	162
851	927	161
852	928	160
853	929	158
854	930	157
855	931	156
856	932	155
857	933	154
858	934	153
859	935	152
860	936	151
861	937	150
862	938	148
863	939	147
864	940	146
865	941	145
866	942	144
867	943	143
868	944	142
869	944	141
870	945	140
871	946	138
872	947	137
873	948	136
874	949	135
875	950	134
876	951	133
877	952	132
878	953	131
879	954	130
880	955	129
881	956	127
882	957	126
883	958	125
884	959	124
885	960	123
886	961	122
887	962	121
888	963	120
889	965	119
890	966	118
891	967	117
892	968	116
893	969	114
894	970	113
895	971	112
896	972	111
897	973	110
898	974	109
899	975	108
900	976	107
901	977	106
902	977	105
903	979	103
904	980	102
905	981	101
906	982	100
907	983	99
908	984	98
909	985	97
910	986	96
911	987	95
912	988	94
913	989	93
914	990	91
915	991	90
916	992	89
917	993	88
918	994	87
919	995	86
920	996	85
921	997	84
922	998	83
923	999	82
924	1000	81
925	1000	79
926	1001	78
927	1002	77
928	1003	76
929	1004	75
930	1005	74
931	1006	73
932	1006	72
933	1007	71
934	1008	70
935	1009	69
936	1010	67
937	1011	66
938	1012	65
939	1013	64
940	1014	63
941	1015	62
942	1016	61
943	1016	60
944	1017	59
945	1018	58
946	1019	57
947	1020	55
948	1021	54
949	1022	53
950	1023	52
951	1024	51
952	1025	50
953	1026	49
954	1027	48
955	1027	47
956	1028	46
957	1029	45
958	1030	44
959	1031	42
960	1032	41
961	1032	40
962	1033	39
963	1034	38
964	1035	37
965	1036	36
966	1037	35
967	1037	34
968	1038	33
969	1039	32
970	1040	31
971	1041	29
972	1042	28
973	1042	27
974	1043	26
975	1044	25
976	1045	24
977	1046	23
978	1047	22
979	1047	21
980	1048	20
981	1049	19
982	1050	18
983	1051	17
984	1052	16
985	1053	14
986	1054	13
987	1055	12
988	1056	11
989	1057	10
990	1057	9
991	1058	8
992	1059	7
993	1060	6
994	1061	5
995	1062	4
996	1063	3
997	1063	2
998	1064	1
999	1065	0
